Prime: 3 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000787s | Timestamp: 2025-05-22T16:37:09.947365
Prime: 5 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000978s | Timestamp: 2025-05-22T16:37:09.948045
Prime: 7 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000572s | Timestamp: 2025-05-22T16:37:09.948602
Prime: 11 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000978s | Timestamp: 2025-05-22T16:37:09.948982
Prime: 13 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001001s | Timestamp: 2025-05-22T16:37:09.949468
Prime: 17 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000834s | Timestamp: 2025-05-22T16:37:09.949938
Prime: 19 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:09.950770
Prime: 23 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001693s | Timestamp: 2025-05-22T16:37:09.951634
Prime: 29 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001144s | Timestamp: 2025-05-22T16:37:09.952199
Prime: 31 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000644s | Timestamp: 2025-05-22T16:37:09.952692
Prime: 37 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001907s | Timestamp: 2025-05-22T16:37:09.953179
Prime: 41 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000763s | Timestamp: 2025-05-22T16:37:09.953809
Prime: 43 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:09.954247
Prime: 47 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001097s | Timestamp: 2025-05-22T16:37:09.954720
Prime: 53 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002289s | Timestamp: 2025-05-22T16:37:09.955246
Prime: 59 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00006962s | Timestamp: 2025-05-22T16:37:09.955709
Prime: 61 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000906s | Timestamp: 2025-05-22T16:37:09.956373
Prime: 67 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001597s | Timestamp: 2025-05-22T16:37:09.957385
Prime: 71 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001335s | Timestamp: 2025-05-22T16:37:09.957941
Prime: 73 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000954s | Timestamp: 2025-05-22T16:37:09.958835
Prime: 79 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001121s | Timestamp: 2025-05-22T16:37:09.959424
Prime: 83 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000834s | Timestamp: 2025-05-22T16:37:09.959801
Prime: 89 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:09.960203
Prime: 97 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001216s | Timestamp: 2025-05-22T16:37:09.960565
Prime: 101 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001025s | Timestamp: 2025-05-22T16:37:09.960927
Prime: 103 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000620s | Timestamp: 2025-05-22T16:37:09.961276
Prime: 107 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000882s | Timestamp: 2025-05-22T16:37:09.961627
Prime: 109 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000668s | Timestamp: 2025-05-22T16:37:09.962023
Prime: 113 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002050s | Timestamp: 2025-05-22T16:37:09.962541
Prime: 127 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00004888s | Timestamp: 2025-05-22T16:37:09.963975
Prime: 131 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001240s | Timestamp: 2025-05-22T16:37:09.965253
Prime: 137 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001121s | Timestamp: 2025-05-22T16:37:09.965795
Prime: 139 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001240s | Timestamp: 2025-05-22T16:37:09.966257
Prime: 149 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001597s | Timestamp: 2025-05-22T16:37:09.966725
Prime: 151 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000548s | Timestamp: 2025-05-22T16:37:09.967311
Prime: 157 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000811s | Timestamp: 2025-05-22T16:37:09.967986
Prime: 163 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002265s | Timestamp: 2025-05-22T16:37:09.968943
Prime: 167 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000954s | Timestamp: 2025-05-22T16:37:09.969709
Prime: 173 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002766s | Timestamp: 2025-05-22T16:37:09.971052
Prime: 179 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000882s | Timestamp: 2025-05-22T16:37:09.971679
Prime: 181 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000739s | Timestamp: 2025-05-22T16:37:09.972211
Prime: 191 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001216s | Timestamp: 2025-05-22T16:37:09.972722
Prime: 193 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:09.973222
Prime: 197 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000739s | Timestamp: 2025-05-22T16:37:09.973760
Prime: 199 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:09.974382
Prime: 211 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00006747s | Timestamp: 2025-05-22T16:37:09.975162
Prime: 223 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00004005s | Timestamp: 2025-05-22T16:37:09.976289
Prime: 227 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001168s | Timestamp: 2025-05-22T16:37:09.977204
Prime: 229 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000548s | Timestamp: 2025-05-22T16:37:09.977830
Prime: 233 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000739s | Timestamp: 2025-05-22T16:37:09.978307
Prime: 239 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000644s | Timestamp: 2025-05-22T16:37:09.979025
Prime: 241 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000429s | Timestamp: 2025-05-22T16:37:09.979698
Prime: 251 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001264s | Timestamp: 2025-05-22T16:37:09.980425
Prime: 257 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001359s | Timestamp: 2025-05-22T16:37:09.981214
Prime: 263 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002027s | Timestamp: 2025-05-22T16:37:09.982198
Prime: 269 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001478s | Timestamp: 2025-05-22T16:37:09.982970
Prime: 271 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000501s | Timestamp: 2025-05-22T16:37:09.983702
Prime: 277 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:09.984355
Prime: 281 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000930s | Timestamp: 2025-05-22T16:37:09.984985
Prime: 283 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:09.985748
Prime: 293 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001693s | Timestamp: 2025-05-22T16:37:09.986476
Prime: 307 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002718s | Timestamp: 2025-05-22T16:37:09.987379
Prime: 311 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001311s | Timestamp: 2025-05-22T16:37:09.988484
Prime: 313 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000525s | Timestamp: 2025-05-22T16:37:09.989413
Prime: 317 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001192s | Timestamp: 2025-05-22T16:37:09.990196
Prime: 331 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001025s | Timestamp: 2025-05-22T16:37:09.990967
Prime: 337 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:09.991674
Prime: 347 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000715s | Timestamp: 2025-05-22T16:37:09.992399
Prime: 349 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000620s | Timestamp: 2025-05-22T16:37:09.993271
Prime: 353 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001383s | Timestamp: 2025-05-22T16:37:09.994342
Prime: 359 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000954s | Timestamp: 2025-05-22T16:37:09.994767
Prime: 367 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:09.995720
Prime: 373 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000644s | Timestamp: 2025-05-22T16:37:09.996547
Prime: 379 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:09.997263
Prime: 383 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000525s | Timestamp: 2025-05-22T16:37:09.997995
Prime: 389 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000691s | Timestamp: 2025-05-22T16:37:09.998794
Prime: 397 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001264s | Timestamp: 2025-05-22T16:37:09.999657
Prime: 401 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000739s | Timestamp: 2025-05-22T16:37:10.000902
Prime: 409 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000787s | Timestamp: 2025-05-22T16:37:10.001857
Prime: 419 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000834s | Timestamp: 2025-05-22T16:37:10.002676
Prime: 421 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000334s | Timestamp: 2025-05-22T16:37:10.003452
Prime: 431 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000691s | Timestamp: 2025-05-22T16:37:10.004236
Prime: 433 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:10.005194
Prime: 439 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000906s | Timestamp: 2025-05-22T16:37:10.006360
Prime: 443 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000620s | Timestamp: 2025-05-22T16:37:10.007356
Prime: 449 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000668s | Timestamp: 2025-05-22T16:37:10.008248
Prime: 457 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000668s | Timestamp: 2025-05-22T16:37:10.009034
Prime: 461 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000525s | Timestamp: 2025-05-22T16:37:10.009822
Prime: 463 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000525s | Timestamp: 2025-05-22T16:37:10.010749
Prime: 467 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001168s | Timestamp: 2025-05-22T16:37:10.011895
Prime: 479 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001049s | Timestamp: 2025-05-22T16:37:10.012992
Prime: 487 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000930s | Timestamp: 2025-05-22T16:37:10.013835
Prime: 491 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000429s | Timestamp: 2025-05-22T16:37:10.014641
Prime: 499 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001025s | Timestamp: 2025-05-22T16:37:10.015443
Prime: 503 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000477s | Timestamp: 2025-05-22T16:37:10.016223
Prime: 509 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000954s | Timestamp: 2025-05-22T16:37:10.017171
Prime: 521 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002098s | Timestamp: 2025-05-22T16:37:10.018313
Prime: 523 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000501s | Timestamp: 2025-05-22T16:37:10.019376
Prime: 541 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00002646s | Timestamp: 2025-05-22T16:37:10.020272
Prime: 547 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000572s | Timestamp: 2025-05-22T16:37:10.021082
Prime: 557 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000763s | Timestamp: 2025-05-22T16:37:10.021877
Prime: 563 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:10.022682
Prime: 569 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000691s | Timestamp: 2025-05-22T16:37:10.023516
Prime: 571 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000787s | Timestamp: 2025-05-22T16:37:10.023849
Prime: 577 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001097s | Timestamp: 2025-05-22T16:37:10.025126
Prime: 587 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:10.026090
Prime: 593 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000596s | Timestamp: 2025-05-22T16:37:10.026884
Prime: 599 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000548s | Timestamp: 2025-05-22T16:37:10.027665
Prime: 601 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000381s | Timestamp: 2025-05-22T16:37:10.028535
Prime: 607 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000930s | Timestamp: 2025-05-22T16:37:10.029418
Prime: 613 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00001144s | Timestamp: 2025-05-22T16:37:10.030450
Prime: 617 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000620s | Timestamp: 2025-05-22T16:37:10.031546
Prime: 619 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000477s | Timestamp: 2025-05-22T16:37:10.032479
Prime: 631 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000858s | Timestamp: 2025-05-22T16:37:10.033277
Prime: 641 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000691s | Timestamp: 2025-05-22T16:37:10.034066
Prime: 643 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000405s | Timestamp: 2025-05-22T16:37:10.034845
Prime: 647 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000620s | Timestamp: 2025-05-22T16:37:10.035760
Prime: 653 | Proposed by: Node 0 | Committed by: Leader 0 | Time: 0.00000882s | Timestamp: 2025-05-22T16:37:10.036984
